GEO_ID,NAME,POPGROUP,POPGROUP_LABEL,B01003_001E,B01003_001M,,,fips,county,state
0500000US05125,"Saline County, Arkansas",1,Total population,122308,*****,AR,,05127,Scott County,AR
0500000US05127,"Scott County, Arkansas",1,Total population,9928,*****,AR,,05129,Searcy County,AR
0500000US05129,"Searcy County, Arkansas",1,Total population,7872,*****,AR,,05131,Sebastian County,AR
0500000US05131,"Sebastian County, Arkansas",1,Total population,127941,*****,AR,,05133,Sevier County,AR
0500000US05133,"Sevier County, Arkansas",1,Total population,16074,*****,AR,,05135,Sharp County,AR
0500000US05135,"Sharp County, Arkansas",1,Total population,17243,*****,AR,,05137,Stone County,AR
0500000US05137,"Stone County, Arkansas",1,Total population,12364,*****,AR,,05139,Union County,AR
0500000US05139,"Union County, Arkansas",1,Total population,39262,*****,AR,,05141,Van Buren County,AR
0500000US05141,"Van Buren County, Arkansas",1,Total population,15851,*****,AR,,05143,Washington County,AR
0500000US05143,"Washington County, Arkansas",1,Total population,242793,*****,AR,,05145,White County,AR
0500000US05145,"White County, Arkansas",1,Total population,77075,*****,AR,,05147,Woodruff County,AR
0500000US05147,"Woodruff County, Arkansas",1,Total population,6333,*****,AR,,05149,Yell County,AR
0500000US05149,"Yell County, Arkansas",1,Total population,20489,*****,AR,,06001,Alameda County,CA
0500000US06001,"Alameda County, California",1,Total population,1673133,*****,CA,,06003,Alpine County,CA
0500000US06003,"Alpine County, California",1,Total population,1344,228,CA,,06005,Amador County,CA
0500000US06005,"Amador County, California",1,Total population,40095,*****,CA,,06007,Butte County,CA
0500000US06007,"Butte County, California",1,Total population,217884,*****,CA,,06009,Calaveras County,CA
0500000US06009,"Calaveras County, California",1,Total population,45349,*****,CA,,06011,Colusa County,CA
0500000US06011,"Colusa County, California",1,Total population,21780,*****,CA,,06013,Contra Costa County,CA
0500000US06013,"Contra Costa County, California",1,Total population,1161643,*****,CA,,06015,Del Norte County,CA
0500000US06015,"Del Norte County, California",1,Total population,27655,*****,CA,,06017,El Dorado County,CA
0500000US06017,"El Dorado County, California",1,Total population,190568,*****,CA,,06019,Fresno County,CA
0500000US06019,"Fresno County, California",1,Total population,1003150,*****,CA,,06021,Glenn County,CA
0500000US06021,"Glenn County, California",1,Total population,28675,*****,CA,,06023,Humboldt County,CA
0500000US06023,"Humboldt County, California",1,Total population,137014,*****,CA,,06025,Imperial County,CA
0500000US06025,"Imperial County, California",1,Total population,180051,*****,CA,,06027,Inyo County,CA
0500000US06027,"Inyo County, California",1,Total population,18804,*****,CA,,06029,Kern County,CA
0500000US06029,"Kern County, California",1,Total population,905644,*****,CA,,06031,Kings County,CA
0500000US06031,"Kings County, California",1,Total population,151887,*****,CA,,06033,Lake County,CA
0500000US06033,"Lake County, California",1,Total population,67749,*****,CA,,06035,Lassen County,CA
0500000US06035,"Lassen County, California",1,Total population,32949,*****,CA,,06037,Los Angeles County,CA
0500000US06037,"Los Angeles County, California",1,Total population,10019635,*****,CA,,06039,Madera County,CA
0500000US06039,"Madera County, California",1,Total population,156304,*****,CA,,06041,Marin County,CA
0500000US06041,"Marin County, California",1,Total population,262387,*****,CA,,06043,Mariposa County,CA
0500000US06043,"Mariposa County, California",1,Total population,17225,*****,CA,,06045,Mendocino County,CA
0500000US06045,"Mendocino County, California",1,Total population,91534,*****,CA,,06047,Merced County,CA
0500000US06047,"Merced County, California",1,Total population,279150,*****,CA,,06049,Modoc County,CA
0500000US06049,"Modoc County, California",1,Total population,8723,*****,CA,,06051,Mono County,CA
0500000US06051,"Mono County, California",1,Total population,13291,*****,CA,,06053,Monterey County,CA
0500000US06053,"Monterey County, California",1,Total population,438953,*****,CA,,06055,Napa County,CA
0500000US06055,"Napa County, California",1,Total population,138795,*****,CA,,06057,Nevada County,CA
0500000US06057,"Nevada County, California",1,Total population,102090,*****,CA,,06059,Orange County,CA
0500000US06059,"Orange County, California",1,Total population,3182923,*****,CA,,06061,Placer County,CA
0500000US06061,"Placer County, California",1,Total population,400330,*****,CA,,06063,Plumas County,CA
0500000US06063,"Plumas County, California",1,Total population,19631,*****,CA,,06065,Riverside County,CA
0500000US06065,"Riverside County, California",1,Total population,2409331,*****,CA,,06067,Sacramento County,CA
0500000US06067,"Sacramento County, California",1,Total population,1571767,*****,CA,,06069,San Benito County,CA
0500000US06069,"San Benito County, California",1,Total population,63329,*****,CA,,06071,San Bernardino County,CA
0500000US06071,"San Bernardino County, California",1,Total population,2171071,*****,CA,,06073,San Diego County,CA
0500000US06073,"San Diego County, California",1,Total population,3296317,*****,CA,,06075,San Francisco County,CA
